,precision,recall,f1-score,support
A,0.0,0.0,0.0,1.0
B,0.013513513513513514,0.025,0.017543859649122806,40.0
C,0.8221538461538461,0.3638344226579521,0.5044364734755522,3672.0
M,0.22135593220338984,0.7082429501084598,0.33729338842975204,922.0
X,0.02702702702702703,0.0196078431372549,0.022727272727272728,51.0
accuracy,0.42488262910798125,0.42488262910798125,0.42488262910798125,0.42488262910798125
macro avg,0.21681006377955528,0.22333704318073339,0.17640019885633995,4686.0
weighted avg,0.6882112700570566,0.42488262910798125,0.4620435510092862,4686.0
