,precision,recall,f1-score,support
A,0.0,0.0,0.0,1.0
B,0.03125,0.05,0.038461538461538464,40.0
C,0.6764705882352942,0.006260206859009254,0.012405609492988134,3674.0
M,0.1950834460983311,0.938177874186551,0.32300224047796866,922.0
X,0.012903225806451613,0.0392156862745098,0.019417475728155338,51.0
accuracy,0.19027303754266212,0.19027303754266212,0.19027303754266212,0.19027303754266212
macro avg,0.18314145202801538,0.206730753464014,0.07865737283213012,4688.0
weighted avg,0.5689266090006956,0.19027303754266212,0.0737873352812549,4688.0
