,precision,recall,f1-score,support
A,0.0,0.0,0.0,1.0
B,0.043010752688172046,0.1,0.06015037593984962,40.0
C,0.816933638443936,0.38899482429855625,0.5270345082118472,3671.0
M,0.22422954303931988,0.6865509761388287,0.33805073431241656,922.0
X,0.047619047619047616,0.0196078431372549,0.027777777777777776,51.0
accuracy,0.4409818569903949,0.4409818569903949,0.4409818569903949,0.4409818569903949
macro avg,0.2263585963580951,0.23903072871492795,0.1906026792483782,4685.0
weighted avg,0.6851338371282903,0.4409818569903949,0.4803093144900745,4685.0
