model,window,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
solarflare_tcn_oversampled_classweight_ws5.h5,0-4,X,2.5888816423957905e-08,0.00025501433992758393,0.0003094912972301245,2.934325129899662e-05,0.999406099319458
solarflare_tcn_oversampled_classweight_ws5.h5,1-5,X,9.224662562701269e-07,0.000980090582743287,0.0008961765561252832,4.985543273505755e-05,0.9980729818344116
solarflare_tcn_oversampled_classweight_ws5.h5,2-6,X,0.000975601258687675,0.11307426542043686,0.10304805636405945,0.10790151357650757,0.6750006079673767
solarflare_tcn_oversampled_classweight_ws5.h5,3-7,X,0.016967441886663437,0.07197742909193039,0.06071426346898079,0.30262771248817444,0.5477131605148315
solarflare_tcn_oversampled_classweight_ws5.h5,4-8,M,0.0010574705665931106,0.03167211636900902,0.03245222195982933,0.9142211675643921,0.02059716358780861
solarflare_tcn_oversampled_classweight_ws5.h5,5-9,M,0.0004979271325282753,0.021695801988244057,0.026440313085913658,0.9391474723815918,0.012218399904668331
solarflare_tcn_oversampled_classweight_ws5.h5,6-10,M,0.003043765900656581,0.24737384915351868,0.07063012570142746,0.35111314058303833,0.32783910632133484
solarflare_tcn_oversampled_classweight_ws5.h5,7-11,X,3.862844096147455e-05,0.009267161600291729,0.004403144121170044,0.0025969375856220722,0.9836941361427307
solarflare_tcn_oversampled_classweight_ws5.h5,8-12,M,0.0003006317710969597,0.1374766230583191,0.08841262757778168,0.42253032326698303,0.35127973556518555
solarflare_tcn_oversampled_classweight_ws5.h5,9-13,X,8.890587923815474e-05,0.10310100018978119,0.09118522703647614,0.32531604170799255,0.4803088307380676
solarflare_tcn_oversampled_classweight_ws5.h5,10-14,X,1.4641973393736407e-05,0.050404585897922516,0.04376094415783882,0.09364064782857895,0.8121791481971741
solarflare_tcn_oversampled_classweight_ws5.h5,11-15,M,4.887998875346966e-05,0.05708123371005058,0.06138746812939644,0.5563461780548096,0.32513627409935
solarflare_tcn_oversampled_classweight_ws5.h5,12-16,M,3.442052047830657e-06,0.023376215249300003,0.03806431218981743,0.9081067442893982,0.03044927679002285
solarflare_tcn_oversampled_classweight_ws5.h5,13-17,X,4.442842055141227e-06,0.020219281315803528,0.03520079329609871,0.36058011651039124,0.5839954018592834
solarflare_tcn_oversampled_classweight_ws5.h5,14-18,X,9.552313713356853e-06,0.013603598810732365,0.023331739008426666,0.12491974979639053,0.8381354212760925
solarflare_tcn_oversampled_classweight_ws5.h5,15-19,X,1.2834590052079875e-05,0.016436241567134857,0.04188297688961029,0.4194984436035156,0.5221694707870483
solarflare_tcn_oversampled_classweight_ws5.h5,16-20,X,2.5430904315726366e-06,0.011299967765808105,0.02067021280527115,0.09089358896017075,0.8771336674690247
solarflare_tcn_oversampled_classweight_ws5.h5,17-21,X,9.252152608496544e-07,0.00338318245485425,0.006375346798449755,0.017390510067343712,0.9728500843048096
solarflare_tcn_oversampled_classweight_ws5.h5,18-22,X,3.930410002794815e-06,0.006737240590155125,0.01673373207449913,0.049137044697999954,0.927388072013855
solarflare_tcn_oversampled_classweight_ws5.h5,19-23,X,4.596015514835017e-06,0.008639287203550339,0.02007373608648777,0.0706787183880806,0.9006036520004272
solarflare_tcn_oversampled_logscaled_ws2.h5,0-1,C,3.7546286080214486e-07,0.0022859906312078238,0.6227303147315979,0.3659690022468567,0.009014294482767582
solarflare_tcn_oversampled_logscaled_ws2.h5,1-2,M,1.3393592901422835e-08,0.0014669100055471063,0.3811870515346527,0.6169247031211853,0.000421364966314286
solarflare_tcn_oversampled_logscaled_ws2.h5,2-3,C,4.1927691540877277e-07,0.0028993417508900166,0.6908273696899414,0.2439589649438858,0.062314003705978394
solarflare_tcn_oversampled_logscaled_ws2.h5,3-4,C,5.47958097740775e-06,0.008228003047406673,0.7541114687919617,0.05704061686992645,0.1806144416332245
solarflare_tcn_oversampled_logscaled_ws2.h5,4-5,C,7.183784589415154e-08,0.004294754937291145,0.5800662636756897,0.41522592306137085,0.0004130504676140845
solarflare_tcn_oversampled_logscaled_ws2.h5,5-6,M,4.395711883375952e-08,0.0027187555097043514,0.4349343180656433,0.5605068206787109,0.0018400108674541116
solarflare_tcn_oversampled_logscaled_ws2.h5,6-7,C,0.04125923663377762,0.0011510996846482158,0.955406129360199,0.0021647391840815544,1.8760707462206483e-05
solarflare_tcn_oversampled_logscaled_ws2.h5,7-8,X,0.0007615035865455866,0.01833355985581875,0.04668816551566124,6.082730408252246e-08,0.9342166781425476
solarflare_tcn_oversampled_logscaled_ws2.h5,8-9,C,0.00012263386452104896,0.036002978682518005,0.7988436222076416,0.16293743252754211,0.002093359362334013
solarflare_tcn_oversampled_logscaled_ws2.h5,9-10,M,2.4430178200418595e-06,0.033841025084257126,0.4597143232822418,0.5062763094902039,0.00016585347475484014
solarflare_tcn_oversampled_logscaled_ws2.h5,10-11,C,0.00011840983643196523,0.03635929897427559,0.7844496965408325,0.16348552703857422,0.015587040223181248
solarflare_tcn_oversampled_logscaled_ws2.h5,11-12,C,6.298456582953804e-07,0.025964386761188507,0.5588256120681763,0.4151853322982788,2.4072269297903404e-05
solarflare_tcn_oversampled_logscaled_ws2.h5,12-13,C,1.531515590613708e-05,0.0533173643052578,0.6693437695503235,0.2772119343280792,0.00011163598537677899
solarflare_tcn_oversampled_logscaled_ws2.h5,13-14,C,7.647590223314182e-07,0.05346593260765076,0.4960845410823822,0.45044025778770447,8.475405593344476e-06
solarflare_tcn_oversampled_logscaled_ws2.h5,14-15,M,5.229402404438588e-07,0.010044274851679802,0.4622747004032135,0.5275784134864807,0.0001020772906485945
